Advanced Netherite			1.14.7
AE2 Things				1.0.5
AE2WTLib				11.6.3
AEInfinityBooster			1.18.2-1.1.0+9
AI-Improvements				0.5.2
Alchemistry				1.18.2-2.2.1
AlchemyLib				1.18.2-1.0.20
Alcocraft: Beer & Stuff			1.0.0
Alex's Delight				1.3.3
Alex's Mobs				1.18.6
Amplified Nether			1.1
AppleSkin				2.4.1+mc1.18.2
Applied Cooking				1.0.3
Applied Energistics 2 			11.7.3 - 11.7.4
Applied Mekanistics			1.2.1
Architectury				4.11.92 - 4.11.93
Auto Ore Dictionary Converter		18.0.2
Auto Smithing Table			1.2.4
Balm					3.2.6
Better Biom Blend			1.3.5-forge
Better Brighness Slider			1.0
Better Compatibility Checker		1.1.21-build.48+mc1.18.2
Better Mods Button			3.2.3
Better Ping Display			1.1
BetterF3				3.0.0
Betterfpsdist mod			1.18.2-1.5
BetterThanMending			1.8.1
Boat Item View				0.0.3
Bookshelf				13.2.53 - 13.2.56
BotanyPots				8.1.28
BotanyTrees				4.0.6
BucketLib				1.18.2-0.5.4.1
Caelus API				1.18.1-3.0.0.2
Catalogue				1.6.2
CC: Tweaked				1.101.2
CC:C Bridge				1.3.1
Celestial Config			1.0.0
Ceramic Bucket				1.18.2-3.0.5.0
Ceramic Shears				1.18.2-1.6.1.1
ChemLib					1.18.2-2.0.16
Chikens					1.0.30 - 1.0.31
ChoiceTheorem's Overhauled Villages	2.9.3 - 2.9.4
Citadel					1.11.3
Click Machine				6.0.5
clickadv mod				1.18.2-2.5
Climb Ladders Fast			2.2.3-1.18
Cloth Config v4 API			6.4.90
Clumps					8.0.0+17
Cobble For Days 			1.5.1
CoFH Core				9.2.1
Collective				6.53
Compact Crafting			2.0.0
Compact Machines 4			4.5.0
Configured				2.0.1
ConnectedTexturesMod			1.18.2-1.1.5+5
Connectivity Mod			1.18.2-3.2
Construction Wand			1.18.2-2.9
Controlling				9.0+22 - 9.0+23
CookingForBlockheads			12.2.0
Corpse					1.18.2-1.0.2
CraftTweaker				9.1.207
Create					0.5.0.i - non-updated
Create Confectionery			1.0.8
Create Craft & Additions		1.18.2-20230507a - non-updated
Create Deco				1.3.1-1.18.2 - 1.3.2-1.18.2
Create Enchantment Industry		1.1.17 - 1.2.0
Create: Broken Bad			1.18.2-1.6
Create: Connected Block Textures	0.5.4
Create: Crystal Clear			1.18.2-0.1.3e
